Net Asset Value,Repurchase Price,Sale Price,NAV date
27.32,,,28-Sep-2021
27.69,,,29-Sep-2021
27.7,,,30-Sep-2021
27.7,,,01-Oct-2021
28.08,,,04-Oct-2021
28.37,,,05-Oct-2021
28.03,,,06-Oct-2021
28.22,,,07-Oct-2021
28.26,,,08-Oct-2021
28.49,,,11-Oct-2021
28.5,,,12-Oct-2021
28.83,,,13-Oct-2021
29.01,,,14-Oct-2021
29.39,,,18-Oct-2021
29.26,,,19-Oct-2021
29,,,20-Oct-2021
28.86,,,21-Oct-2021
28.52,,,22-Oct-2021
28.46,,,25-Oct-2021
28.66,,,26-Oct-2021
28.61,,,27-Oct-2021
28.11,,,28-Oct-2021
27.94,,,29-Oct-2021
28.37,,,01-Nov-2021
28.4,,,02-Nov-2021
28.37,,,03-Nov-2021
28.74,,,08-Nov-2021
28.78,,,09-Nov-2021
28.78,,,10-Nov-2021
28.49,,,11-Nov-2021
28.83,,,12-Nov-2021
28.69,,,15-Nov-2021
28.62,,,16-Nov-2021
28.6,,,17-Nov-2021
28.12,,,18-Nov-2021
27.61,,,22-Nov-2021
28.03,,,23-Nov-2021
28.01,,,24-Nov-2021
28.06,,,25-Nov-2021
27.35,,,26-Nov-2021
27.19,,,29-Nov-2021
27.28,,,30-Nov-2021
27.45,,,01-Dec-2021
27.75,,,02-Dec-2021
27.56,,,03-Dec-2021
27.12,,,06-Dec-2021
27.46,,,07-Dec-2021
27.93,,,08-Dec-2021
28.04,,,09-Dec-2021
28.01,,,10-Dec-2021
28.01,,,13-Dec-2021
27.97,,,14-Dec-2021
27.89,,,15-Dec-2021
27.86,,,16-Dec-2021
27.59,,,17-Dec-2021
26.91,,,20-Dec-2021
27.19,,,21-Dec-2021
27.5,,,22-Dec-2021
27.72,,,23-Dec-2021
27.63,,,24-Dec-2021
27.73,,,27-Dec-2021
28.17,,,28-Dec-2021
28.15,,,29-Dec-2021
28.24,,,30-Dec-2021
28.38,,,31-Dec-2021
28.62,,,03-Jan-2022
28.81,,,04-Jan-2022
28.82,,,05-Jan-2022
28.63,,,06-Jan-2022
28.77,,,07-Jan-2022
29.11,,,10-Jan-2022
29.18,,,11-Jan-2022
29.52,,,12-Jan-2022
29.79,,,13-Jan-2022
29.75,,,14-Jan-2022
29.84,,,17-Jan-2022
29.48,,,18-Jan-2022
29.42,,,19-Jan-2022
29.21,,,20-Jan-2022
28.8,,,21-Jan-2022
28.17,,,24-Jan-2022
28.52,,,25-Jan-2022
28.48,,,27-Jan-2022
28.58,,,28-Jan-2022
28.98,,,31-Jan-2022
29.32,,,01-Feb-2022
29.59,,,02-Feb-2022
29.33,,,03-Feb-2022
29.24,,,04-Feb-2022
28.98,,,07-Feb-2022
28.98,,,08-Feb-2022
29.2,,,09-Feb-2022
29.42,,,10-Feb-2022
29.08,,,11-Feb-2022
28.27,,,14-Feb-2022
28.91,,,15-Feb-2022
28.83,,,16-Feb-2022
28.73,,,17-Feb-2022
28.72,,,18-Feb-2022
28.5,,,21-Feb-2022
28.23,,,22-Feb-2022
28.19,,,23-Feb-2022
27.1,,,24-Feb-2022
27.76,,,25-Feb-2022
27.99,,,28-Feb-2022
27.96,,,02-Mar-2022
27.93,,,03-Mar-2022
27.6,,,04-Mar-2022
27.32,,,07-Mar-2022
27.58,,,08-Mar-2022
27.89,,,09-Mar-2022
28.18,,,10-Mar-2022
28.27,,,11-Mar-2022
28.56,,,14-Mar-2022
28.22,,,15-Mar-2022
28.66,,,16-Mar-2022
28.99,,,17-Mar-2022
28.85,,,21-Mar-2022
29.14,,,22-Mar-2022
28.98,,,23-Mar-2022
29.06,,,24-Mar-2022
28.93,,,25-Mar-2022
29.01,,,28-Mar-2022
29.12,,,29-Mar-2022
29.17,,,30-Mar-2022
29.21,,,31-Mar-2022
29.53,,,01-Apr-2022
30.01,,,04-Apr-2022
30.11,,,05-Apr-2022
30.01,,,06-Apr-2022
29.94,,,07-Apr-2022
30.12,,,08-Apr-2022
29.94,,,11-Apr-2022
