,NAV,date
591,17.21,26-Nov-2020
592,17.44,27-Nov-2020
593,17.66,01-Dec-2020
594,17.72,02-Dec-2020
595,17.96,03-Dec-2020
596,18.14,04-Dec-2020
597,18.36,07-Dec-2020
598,18.35,08-Dec-2020
599,18.53,09-Dec-2020
600,18.47,10-Dec-2020
601,18.6,11-Dec-2020
602,18.68,14-Dec-2020
603,18.65,15-Dec-2020
604,18.81,16-Dec-2020
605,18.74,17-Dec-2020
606,18.79,18-Dec-2020
607,17.86,21-Dec-2020
608,18.16,22-Dec-2020
609,18.5,23-Dec-2020
610,18.74,24-Dec-2020
611,19.02,28-Dec-2020
612,19.11,29-Dec-2020
613,19.11,30-Dec-2020
614,19.09,31-Dec-2020
615,19.18,01-Jan-2021
616,19.51,04-Jan-2021
617,19.57,05-Jan-2021
618,19.57,06-Jan-2021
619,19.58,07-Jan-2021
620,19.83,08-Jan-2021
621,19.91,11-Jan-2021
622,20.05,12-Jan-2021
623,20.14,13-Jan-2021
624,20.15,14-Jan-2021
625,19.83,15-Jan-2021
626,19.47,18-Jan-2021
627,19.76,19-Jan-2021
628,19.89,20-Jan-2021
629,19.72,21-Jan-2021
630,19.51,22-Jan-2021
631,19.38,25-Jan-2021
632,19.09,27-Jan-2021
633,19.0,28-Jan-2021
634,18.68,29-Jan-2021
635,19.12,01-Feb-2021
636,19.59,02-Feb-2021
637,19.82,03-Feb-2021
638,20.12,04-Feb-2021
639,20.04,05-Feb-2021
640,20.4,08-Feb-2021
641,20.3,09-Feb-2021
642,20.32,10-Feb-2021
643,20.33,11-Feb-2021
644,20.18,12-Feb-2021
645,20.23,15-Feb-2021
646,20.32,16-Feb-2021
647,20.45,17-Feb-2021
648,20.73,18-Feb-2021
649,20.67,19-Feb-2021
650,20.45,22-Feb-2021
651,20.66,23-Feb-2021
652,20.79,24-Feb-2021
653,21.18,25-Feb-2021
654,20.78,26-Feb-2021
655,20.98,01-Mar-2021
656,21.51,02-Mar-2021
657,21.79,03-Mar-2021
658,21.84,04-Mar-2021
659,21.54,05-Mar-2021
660,21.75,08-Mar-2021
661,21.55,09-Mar-2021
662,21.67,10-Mar-2021
663,21.62,12-Mar-2021
664,21.57,15-Mar-2021
665,21.75,16-Mar-2021
666,21.32,17-Mar-2021
667,20.96,18-Mar-2021
668,21.18,19-Mar-2021
669,21.41,22-Mar-2021
670,21.36,23-Mar-2021
671,20.92,24-Mar-2021
672,20.51,25-Mar-2021
673,20.75,26-Mar-2021
674,21.1,30-Mar-2021
675,21.03,31-Mar-2021
676,21.38,01-Apr-2021
677,21.17,05-Apr-2021
678,21.33,06-Apr-2021
679,21.54,07-Apr-2021
680,21.58,08-Apr-2021
681,21.51,09-Apr-2021
682,20.51,12-Apr-2021
683,20.79,13-Apr-2021
684,20.77,15-Apr-2021
685,20.99,16-Apr-2021
686,20.63,19-Apr-2021
687,20.58,20-Apr-2021
688,20.58,22-Apr-2021
689,20.59,23-Apr-2021
690,20.7,26-Apr-2021
691,20.94,27-Apr-2021
692,21.1,28-Apr-2021
693,21.1,29-Apr-2021
694,21.05,30-Apr-2021
695,21.34,03-May-2021
696,21.37,04-May-2021
697,21.62,05-May-2021
698,21.76,06-May-2021
699,21.96,07-May-2021
700,22.23,10-May-2021
701,22.37,11-May-2021
702,22.25,12-May-2021
703,21.97,14-May-2021
704,22.21,17-May-2021
705,22.45,18-May-2021
706,22.56,19-May-2021
707,22.41,20-May-2021
708,22.63,21-May-2021
709,22.78,24-May-2021
710,22.85,25-May-2021
711,22.91,26-May-2021
712,23.02,27-May-2021
713,22.98,28-May-2021
714,23.08,31-May-2021
715,22.96,01-Jun-2021
716,23.07,02-Jun-2021
717,23.19,03-Jun-2021
718,23.22,04-Jun-2021
719,23.48,07-Jun-2021
720,23.71,08-Jun-2021
721,23.71,09-Jun-2021
722,24.0,10-Jun-2021
723,24.05,11-Jun-2021
724,24.01,14-Jun-2021
725,24.04,15-Jun-2021
726,23.98,16-Jun-2021
727,23.83,17-Jun-2021
